crop_id,seed_type,value_text_en,range_from,range_to
840,Variety,11128.87,10117.16,12140.59
841,Variety,27316.32,24281.18,30351.47
842,Variety,16194.33,14170.04,18218.62
843,Variety,7082.01,6070.29,8093.73
844,Variety,4653.89,3237.49,6070.29
845,Variety,607.03,404.69,809.37
846,Variety,708.2,607.03,809.37
847,Variety,546.33,485.62,607.03
848,Variety,1315.23,1011.72,1618.75
849,Variety,1315.23,1011.72,1618.75
850,Variety,24000,17000,31000
851,Variety,15175.74,14164.02,16187.45
351,Hybrid,23269.46,20234.31,26304.61
351,Variety,12140.59,8093.73,16187.45
352,Hybrid,14164.02,12140.59,16187.45
352,Variety,9105.44,6070.29,12140.59
353,Hybrid,24281.18,16187.45,32374.9
353,Variety,13152.3,12140.59,14164.02
354,Hybrid,15175.74,14164.02,16187.45
354,Variety,9105.44,8093.73,10117.16
355,Hybrid,11128.87,10117.16,12140.59
355,Variety,7082.01,6070.29,8093.73
356,Hybrid,15175.74,14164.02,16187.45
356,Variety,8093.73,6070.29,10117.16
357,Hybrid,15175.74,14164.02,16187.45
357,Variety,7082.01,6070.29,8093.73
358,Hybrid,27316.32,24281.18,30351.47
358,Variety,11128.87,10117.16,12140.59
359,Hybrid,9105.44,8093.73,10117.16
359,Variety,7082.01,6070.29,8093.73
360,Hybrid,18210.88,16187.45,20234.31
360,Variety,10117.16,8093.73,12140.59
361,Hybrid,9105.44,8093.73,10117.16
361,Variety,9105.44,8093.73,10117.16
362,Hybrid,7082.01,6070.29,8093.73
362,Variety,5463.26,4856.24,6070.29
363,Hybrid,4400,4000,4800
363,Variety,4400,4000,4800
364,Variety,2225.77,2023.43,2428.12
451,Hybrid,14164.02,12140.59,16187.45
451,Variety,9105.44,6070.29,12140.59
452,Hybrid,23269.46,20234.31,26304.61
452,Variety,12140.59,8093.73,16187.45
852,Variety,7082.01,6070.29,8093.73
853,Variety,9109.31,8097.16,10121.45
854,Variety,17199.17,16187.45,18210.88
855,Variety,17199.17,16187.45,18210.88
856,Variety,11128.87,10117.16,12140.59
857,Variety,1821.09,1618.75,2023.43
858,Variety,2630.46,2428.12,2832.8
859,Variety,5058.58,4046.86,6070.29
860,Variety,14164.02,12140.59,16187.45
861,Variety,12140.59,10117.16,14164.02
862,Variety,9105.44,8093.73,10117.16
863,Variety,9105.44,8093.73,10117.16
864,Variety,24281.18,16187.45,32374.9
865,Variety,7082.01,6070.29,8093.73
866,Variety,11128.87,10117.16,12140.59
867,Variety,7082.01,6070.29,8093.73
868,Variety,14164.02,12140.59,16187.45
869,Variety,4249.21,2428.12,6070.29
870,Variety,23269.46,20234.31,26304.61
871,Variety,7082.01,6070.29,8093.73
872,Variety,10117.16,8093.73,12140.59
873,Variety,27316.32,24281.18,30351.47
874,Variety,27316.32,24281.18,30351.47
453,Hybrid,27316.32,24281.18,30351.47
453,Variety,11128.87,10117.16,12140.59
454,Hybrid,24281.18,16187.45,32374.9
454,Variety,13152.3,12140.59,14164.02
455,Hybrid,9105.44,8093.73,10117.16
455,Variety,7082.01,6070.29,8093.73
456,Hybrid,15175.74,14164.02,16187.45
456,Variety,8093.73,6070.29,10117.16
457,Hybrid,15175.74,14164.02,16187.45
457,Variety,7082.01,6070.29,8093.73
458,Hybrid,18210.88,16187.45,20234.31
458,Variety,10117.16,8093.73,12140.59
459,Hybrid,5000,4500,5500
459,Variety,3035.15,2023.43,4046.86
461,Hybrid,7082.01,6070.29,8093.73
461,Variety,5665.61,4856.24,6474.98
462,Hybrid,27316.32,24281.18,30351.47
462,Variety,9105.44,8093.73,10117.16
466,Hybrid,14164.02,12140.59,16187.45
466,Variety,11128.87,10117.16,12140.59
467,Variety,6070.29,4046.86,8093.73
468,Hybrid,8500,8000,9000
468,Variety,7082.01,6070.29,8093.73
469,Hybrid,9000,8000,10000
469,Variety,7486.7,4856.24,10117.16
470,Hybrid,15175.74,14164.02,16187.45
470,Variety,9105.44,8093.73,10117.16
471,Hybrid,17199.17,16187.45,18210.88
471,Variety,11128.87,10117.16,12140.59
2,Hybrid,3035.15,2832.8,3237.49
2,Variety,2225.77,2023.43,2428.12
5,Hybrid,1821.09,1416.4,2225.77
5,Variety,1112.89,1011.72,1214.06
8,Variety,1214.06,1011.72,1416.4
9,Variety,708.2,607.03,809.37
10,Variety,749,485.83,1011.72
11,Variety,465.39,323.75,607.03
12,Hybrid,1315.23,1011.72,1618.75
12,Variety,1112.89,930.78,1295
19,Variety,465.39,323.75,607.03
20,Variety,1315.23,1214.06,1416.4
21,Hybrid,748.67,607.03,890.31
21,Variety,647.5,607.03,687.97
23,Variety,910.93,809.37,1012.15
24,Hybrid,708.2,607.03,809.37
24,Variety,445.15,404.69,485.62
28,Variety,546.33,485.62,607.03
29,Variety,364.22,323.75,404.69
34,Hybrid,910.54,809.37,1011.72
34,Variety,708.2,607.03,809.37
57,Variety,65761.52,60702.94,70820.1
61,Hybrid,5400,2800,8000
61,Variety,5400,2800,8000
67,Variety,28328.04,16187.45,40468.63
86,Hybrid,10800,5600,16000
86,Variety,10800,5600,16000
98,Hybrid,70820.1,40468.63,101171.57
98,Variety,70820.1,40468.63,101171.57
107,Hybrid,7900,2700,13100
113,Variety,5260.92,4046.86,6474.98
114,Hybrid,34398.33,32374.9,36421.76
114,Variety,13152.3,12140.59,14164.02
117,Hybrid,17199.17,16187.45,18210.88
117,Variety,11128.87,10117.16,12140.59
118,Hybrid,9105.44,8093.73,10117.16
118,Variety,7082.01,6070.29,8093.73
119,Hybrid,15175.74,14164.02,16187.45
119,Variety,7082.01,6070.29,8093.73
120,Hybrid,18210.88,16187.45,20234.31
120,Variety,10117.16,8093.73,12140.59
875,Variety,27316.32,24281.18,30351.47
876,Variety,27316.32,24281.18,30351.47
877,Variety,11128.87,10117.16,12140.59
878,Variety,11128.87,10117.16,12140.59
879,Variety,7486.7,4856.24,10117.16
880,Variety,607.03,404.69,809.37
881,Variety,607.03,404.69,809.37
882,Variety,23269.46,20234.31,26304.61
883,Variety,9105.44,8093.73,10117.16
884,Variety,15175.74,14164.02,16187.45
885,Variety,11128.87,10117.16,12140.59
886,Variety,11128.87,10117.16,12140.59
887,Variety,10117.16,8093.73,12140.59
888,Variety,14164.02,12140.59,16187.45
889,Variety,11128.87,10117.16,12140.59
890,Variety,16194.33,14170.04,18218.62
891,Variety,5058.58,4046.86,6070.29
892,Variety,15175.74,14164.02,16187.45
894,Variety,5058.58,4046.86,6070.29
895,Variety,9000,8000,10000
896,Variety,17000,16000,18000
897,Variety,2100,2000,2200
898,Variety,1050,700,1400
899,Variety,17500,15000,20000
473,Hybrid,7082.01,6070.29,8093.73
473,Variety,5463.26,4856.24,6070.29
474,Hybrid,5200,4400,6000
474,Variety,3400,3200,3600
475,Hybrid,9109.31,8097.16,10121.45
475,Variety,9109.31,8097.16,10121.45
476,Hybrid,12140.59,10117.16,14164.02
476,Variety,10117.16,8093.73,12140.59
479,Hybrid,7082.01,6070.29,8093.73
479,Variety,5463.26,4856.24,6070.29
480,Hybrid,11128.87,10117.16,12140.59
480,Variety,7082.01,6070.29,8093.73
501,Hybrid,3600,1600,2800
501,Variety,3300,1000,2800
502,Variety,2200,800,1800
503,Hybrid,12140.59,10117.16,14164.02
503,Variety,10117.16,8093.73,12140.59
504,Hybrid,14164.02,12140.59,16187.45
504,Variety,11128.87,10117.16,12140.59
801,Variety,27316.32,24281.18,30351.47
802,Variety,5260.92,4046.86,6474.98
803,Variety,9105.44,8093.73,10117.16
804,Variety,5058.58,4046.86,6070.29
805,Variety,17199.17,16187.45,18210.88
806,Variety,11128.87,10117.16,12140.59
807,Variety,15175.74,14164.02,16187.45
808,Variety,9105.44,8093.73,10117.16
809,Variety,607.03,404.69,809.37
810,Variety,5058.58,4046.86,6070.29
811,Variety,23269.46,20234.31,26304.61
812,Variety,14164.02,12140.59,16187.45
813,Variety,9105.44,8093.73,10117.16
121,Hybrid,24281.18,16187.45,32374.9
121,Variety,13152.3,12140.59,14164.02
125,Hybrid,23269.46,20234.31,26304.61
125,Variety,12140.59,8093.73,16187.45
128,Hybrid,14164.02,12140.59,16187.45
128,Variety,9105.44,6070.29,12140.59
133,Hybrid,15175.74,14164.02,16187.45
133,Variety,9105.44,8093.73,10117.16
137,Hybrid,5058.58,4046.86,6070.29
137,Variety,3035.15,2023.43,4046.86
140,Hybrid,11128.87,10117.16,12140.59
140,Variety,7082.01,6070.29,8093.73
142,Hybrid,2882,764,5000
142,Variety,2882,764,5000
143,Hybrid,7082.01,6070.29,8093.73
143,Variety,5463.26,4856.24,6070.29
144,Hybrid,7082.01,6070.29,8093.73
144,Variety,5463.26,4856.24,6070.29
145,Hybrid,9105.44,8093.73,10117.16
145,Variety,9105.44,8093.73,10117.16
146,Hybrid,7082.01,6070.29,8093.73
146,Variety,5463.26,4856.24,6070.29
147,Hybrid,11128.87,10117.16,12140.59
147,Variety,11128.87,10117.16,12140.59
149,Variety,24000,17000,31000
151,Variety,708.5,609.29,809.72
152,Hybrid,7082.01,6070.29,8093.73
152,Variety,5665.61,4856.24,6474.98
156,Hybrid,9109.31,8097.16,10121.45
156,Variety,9109.31,8097.16,10121.45
158,Hybrid,15175.74,14164.02,16187.45
158,Variety,8093.73,6070.29,10117.16
159,Hybrid,27316.32,24281.18,30351.47
159,Variety,9105.44,8093.73,10117.16
163,Hybrid,27316.32,24281.18,30351.47
163,Variety,11128.87,10117.16,12140.59
172,Variety,2630.46,2428.12,2832.8
176,Variety,6070.29,4046.86,8093.73
177,Variety,7082.01,6070.29,8093.73
814,Variety,7082.01,6070.29,8093.73
815,Variety,11128.87,10117.16,12140.59
816,Variety,9109.31,8097.16,10121.45
817,Variety,15175.74,14164.02,16187.45
818,Variety,14164.02,12140.59,16187.45
819,Variety,12140.59,10117.16,14164.02
820,Variety,24281.18,16187.45,32374.9
821,Variety,7082.01,6070.29,8093.73
822,Variety,4249.21,2428.12,6070.29
823,Variety,1250,1000,1500
824,Variety,2630.46,2428.12,2832.8
825,Variety,11128.87,10117.16,12140.59
826,Variety,7082.01,6070.29,8093.73
827,Variety,7082.01,6070.29,8093.73
828,Variety,1821.09,1618.75,2023.43
829,Variety,10117.16,8093.73,12140.59
830,Variety,10117.16,8093.73,12140.59
831,Variety,14164.02,12140.59,16187.45
832,Variety,7082.01,6070.29,8093.73
833,Variety,7486.7,4856.24,10117.16
834,Variety,9109.31,8097.16,10121.45
835,Variety,11128.87,10117.16,12140.59
836,Variety,11128.87,10117.16,12140.59
837,Variety,23269.46,20234.31,26304.61
838,Variety,11128.87,10117.16,12140.59
839,Variety,5058.58,4046.86,6070.29
180,Hybrid,1075,150,2000
180,Variety,1075,150,2000
182,Variety,2225.77,2023.43,2428.12
184,Hybrid,2250,1000,3500
184,Variety,2250,1000,3500
189,Hybrid,4600,1200,8000
189,Variety,4600,1200,8000
199,Hybrid,12140.59,10117.16,14164.02
199,Variety,10117.16,8093.73,12140.59
203,Hybrid,5463.26,4856.24,6070.29
203,Variety,3642.18,3237.49,4046.86
204,Hybrid,7082.01,6070.29,8093.73
204,Variety,5058.58,4046.86,6070.29
208,Hybrid,14164.02,12140.59,16187.45
208,Variety,11128.87,10117.16,12140.59
209,Variety,45527.21,40468.63,50585.78
210,Variety,505.86,404.69,607.03
214,Hybrid,1821.09,1214.06,2428.12
214,Variety,1214.06,809.37,1618.75
219,Variety,75878.68,70820.1,80937.25
220,Variety,91054.41,80937.25,101171.57
221,Variety,2428.12,2023.43,2832.8
222,Hybrid,910.54,809.37,1011.72
224,Hybrid,9109.31,8097.16,10121.45
224,Variety,9109.31,8097.16,10121.45
226,Hybrid,5463.26,4856.24,6070.29
226,Variety,3642.18,3237.49,4046.86
227,Hybrid,9105.44,8093.73,10117.16
227,Variety,9105.44,8093.73,10117.16
228,Variety,1315.23,1011.72,1618.75
229,Hybrid,7082.01,6070.29,8093.73
229,Variety,7082.01,6070.29,8093.73
230,Hybrid,1600,700,2500
230,Variety,1600,700,2500
301,Variety,40468.63,36421.76,44515.49
302,Variety,14164.02,12140.59,16187.45
303,Variety,21246.03,18210.88,24281.18
304,Variety,15182.19,14170.04,16194.33
305,Variety,16187.45,14164.02,18210.88
